county,2016,2017,2018,2019,2020,2021
"Autauga County, Alabama",41196,41527,41831,42175,42496,44438
"Baldwin County, Alabama",155240,158361,162430,166595,171296,178105
"Barbour County, Alabama",20879,20687,20346,20054,19804,19995
"Bibb County, Alabama",17816,17852,17868,17862,17790,17800
"Blount County, Alabama",44103,44102,44177,44292,44383,45201
"Bullock County, Alabama",8278,8312,8202,8120,7894,8083
"Butler County, Alabama",15547,15556,15459,15373,15325,14816
"Calhoun County, Alabama",90242,90097,89902,89666,89555,91014
"Chambers County, Alabama",26735,26639,26820,26595,26481,27568
"Cherokee County, Alabama",20571,20647,20567,20658,21032,20128
"Chilton County, Alabama",33227,33255,33283,33420,33587,34112
"Choctaw County, Alabama",10527,10482,10425,10322,10207,10206
"Clarke County, Alabama",19229,19111,18998,18841,18704,18168
"Clay County, Alabama",10569,10550,10559,10559,10550,11167
"Cleburne County, Alabama",11473,11481,11500,11533,11582,11603
"Coffee County, Alabama",38869,38954,39127,39403,39886,40371
"Colbert County, Alabama",42642,42727,42887,43218,43457,44747
"Conecuh County, Alabama",9877,9875,9863,9790,9672,9327
"Coosa County, Alabama",8872,9050,9005,8956,8933,8746
"Covington County, Alabama",29411,29261,29161,29037,29028,29156
"Crenshaw County, Alabama",10718,10732,10749,10738,10742,10270
"Cullman County, Alabama",63037,63346,63741,64148,64638,67446
"Dale County, Alabama",37879,37785,37749,37892,37964,38032
"Dallas County, Alabama",30992,30677,30249,29720,28970,29714
"DeKalb County, Alabama",53387,53650,53720,53800,54064,54133
"Elmore County, Alabama",62404,62714,62973,62915,63355,67679
"Escambia County, Alabama",29444,29239,29000,28769,28536,28519
"Etowah County, Alabama",80606,80592,80658,80579,80615,81038
"Fayette County, Alabama",13176,13059,13023,13014,12935,12873
"Franklin County, Alabama",23898,23735,23736,23582,23702,23936
"Geneva County, Alabama",20832,20673,20635,20599,20588,20701
"Greene County, Alabama",6597,6534,6564,6440,6455,6122
"Hale County, Alabama",11594,11505,11406,11355,11331,11346
"Henry County, Alabama",13555,13529,13537,13537,13568,13572
"Houston County, Alabama",79179,79562,79966,80349,81009,81728
"Jackson County, Alabama",41173,41033,40935,40870,40900,41465
"Jefferson County, Alabama",506618,507281,508234,508503,508262,517754
"Lamar County, Alabama",11016,10933,10868,10835,10813,10906
"Lauderdale County, Alabama",73637,73838,74063,74247,74550,74790
"Lawrence County, Alabama",26121,26046,25939,25875,25832,25847
"Lee County, Alabama",120408,122758,125085,126764,128931,135617
"Limestone County, Alabama",69153,70441,71640,73144,75110,78504
"Lowndes County, Alabama",8112,7984,7906,7808,7719,8003
"Macon County, Alabama",16142,15866,15643,15460,15248,16116
"Madison County, Alabama",271279,274312,278365,282589,287370,298319
"Marengo County, Alabama",15434,15209,15070,14918,14691,14996
