cfips,neighbours,lat,long
1001,"[1021, 1047, 1051, 1085, 1101]",+32.5322367,-086.6464395
1003,"[1025, 1053, 1097, 1099, 1129, 12033]",+30.6592183,-087.7460666
1005,"[1011, 1045, 1067, 1109, 1113, 13061, 13239, 13259]",+31.8702531,-085.4051035
1007,"[1021, 1065, 1073, 1105, 1117, 1125]",+33.0158929,-087.1271475
1009,"[1043, 1055, 1073, 1095, 1115, 1127]",+33.9773575,-086.5664400
1011,"[1005, 1087, 1101, 1109, 1113]",+32.1017589,-085.7172613
1013,"[1035, 1039, 1041, 1085, 1099, 1131]",+31.7516670,-086.6819689
1015,"[1019, 1029, 1055, 1115, 1121]",+33.7717061,-085.8225133
1017,"[1081, 1111, 1123, 13145, 13285]",+32.9155039,-085.3940321
1019,"[1015, 1029, 1049, 1055, 13055, 13115, 13233]",+34.0695153,-085.6542417
1021,"[1001, 1007, 1037, 1047, 1051, 1105, 1117]",+32.8540514,-086.7266071
1023,"[1025, 1091, 1119, 1129, 28023, 28075, 28153]",+31.9909972,-088.2489085
1025,"[1003, 1023, 1091, 1099, 1129, 1131]",+31.6855211,-087.8186244
1027,"[1029, 1037, 1111, 1121, 1123]",+33.2703999,-085.8635254
1029,"[1015, 1019, 1027, 1111, 1121, 13045, 13143, 13233]",+33.6719637,-085.5161261
1031,"[1039, 1041, 1045, 1061, 1109]",+31.4022580,-085.9896022
1033,"[1059, 1077, 1079, 28141]",+34.7031120,-087.8014569
1035,"[1013, 1039, 1053, 1099]",+31.4309257,-086.9887221
1037,"[1021, 1027, 1051, 1117, 1121, 1123]",+32.9314453,-086.2434818
1039,"[1013, 1031, 1035, 1041, 1053, 1061, 12091, 12131]",+31.2439873,-086.4487206
1041,"[1013, 1031, 1039, 1085, 1101, 1109]",+31.7328256,-086.3192219
1043,"[1009, 1079, 1095, 1103, 1127, 1133]",+34.1319229,-086.8692666
1045,"[1005, 1031, 1061, 1067, 1069, 1109]",+31.4306536,-085.6094760
