cfips,year,rent_50_0,rent_50_1,rent_50_2,rent_50_3
1001,2019,620.0,743.0,880.0,1112.0
1001,2020,615.0,741.0,876.0,1105.0
1001,2021,685.0,820.0,972.0,1229.0
1001,2022,687.0,816.0,976.0,1234.0
1001,2023,773.0,882.0,1055.0,1340.0
1003,2019,816.0,835.0,959.0,1352.0
1003,2020,806.0,811.0,992.0,1355.0
1003,2021,821.0,827.0,1054.0,1428.0
1003,2022,872.0,878.0,1149.0,1523.0
1003,2023,1018.0,1021.0,1328.0,1689.0
1005,2019,538.0,541.0,716.0,901.0
1005,2020,508.0,512.0,674.0,840.0
1005,2021,519.0,523.0,689.0,857.0
1005,2022,558.0,562.0,739.0,914.0
1005,2023,592.0,596.0,784.0,997.0
1007,2019,763.0,824.0,943.0,1247.0
1007,2020,875.0,937.0,1073.0,1404.0
1007,2021,891.0,950.0,1093.0,1421.0
1007,2022,834.0,895.0,1029.0,1331.0
1007,2023,949.0,1032.0,1178.0,1508.0
1009,2019,763.0,824.0,943.0,1247.0
1009,2020,875.0,937.0,1073.0,1404.0
1009,2021,891.0,950.0,1093.0,1421.0
1009,2022,834.0,895.0,1029.0,1331.0
1009,2023,949.0,1032.0,1178.0,1508.0
1011,2019,539.0,548.0,688.0,912.0
1011,2020,527.0,539.0,681.0,900.0
1011,2021,554.0,571.0,734.0,913.0
1011,2022,620.0,635.0,825.0,1020.0
1011,2023,685.0,697.0,906.0,1104.0
1013,2019,510.0,514.0,678.0,878.0
1013,2020,516.0,568.0,667.0,852.0
1013,2021,523.0,608.0,693.0,862.0
1013,2022,580.0,678.0,772.0,954.0
1013,2023,620.0,715.0,820.0,998.0
1015,2019,485.0,545.0,718.0,941.0
1015,2020,490.0,556.0,732.0,952.0
1015,2021,510.0,580.0,764.0,998.0
1015,2022,595.0,599.0,788.0,1046.0
1015,2023,643.0,647.0,852.0,1156.0
1017,2019,516.0,640.0,764.0,959.0
1017,2020,532.0,649.0,748.0,972.0
1017,2021,592.0,688.0,825.0,1060.0
1017,2022,698.0,702.0,917.0,1144.0
1017,2023,741.0,746.0,982.0,1195.0
1019,2019,520.0,524.0,693.0,933.0
1019,2020,496.0,500.0,658.0,888.0
1019,2021,503.0,505.0,666.0,921.0
1019,2022,552.0,559.0,735.0,1024.0
1019,2023,609.0,620.0,805.0,1017.0
1021,2019,563.0,597.0,683.0,988.0
1021,2020,648.0,684.0,779.0,1124.0
1021,2021,657.0,691.0,788.0,1128.0
1021,2022,622.0,660.0,752.0,1044.0
1021,2023,679.0,697.0,830.0,1139.0
1023,2019,541.0,545.0,721.0,903.0
1023,2020,512.0,516.0,679.0,846.0
1023,2021,494.0,496.0,654.0,813.0
1023,2022,530.0,536.0,705.0,871.0
1023,2023,591.0,593.0,781.0,972.0
1025,2019,492.0,538.0,628.0,908.0
1025,2020,474.0,507.0,612.0,883.0
1025,2021,479.0,493.0,634.0,907.0
1025,2022,530.0,550.0,705.0,1001.0
1025,2023,591.0,604.0,781.0,1110.0
1027,2019,535.0,549.0,628.0,908.0
1027,2020,474.0,538.0,612.0,882.0
1027,2021,479.0,556.0,634.0,868.0
1027,2022,495.0,609.0,705.0,961.0
1027,2023,549.0,661.0,781.0,1056.0
1029,2019,515.0,519.0,686.0,900.0
1029,2020,474.0,478.0,629.0,887.0
1029,2021,479.0,481.0,634.0,892.0
1029,2022,530.0,564.0,705.0,974.0
1029,2023,591.0,626.0,781.0,1018.0
1031,2019,606.0,610.0,743.0,1074.0
1031,2020,548.0,576.0,708.0,1021.0
1031,2021,562.0,593.0,744.0,1065.0
1031,2022,592.0,635.0,788.0,1119.0
1031,2023,660.0,679.0,873.0,1241.0
1033,2019,564.0,568.0,717.0,943.0
1033,2020,526.0,597.0,755.0,966.0
1033,2021,562.0,621.0,801.0,1010.0
1033,2022,558.0,611.0,798.0,993.0
1033,2023,611.0,656.0,863.0,1064.0
1035,2019,474.0,478.0,628.0,884.0
1035,2020,474.0,510.0,612.0,874.0
1035,2021,479.0,532.0,634.0,907.0
1035,2022,530.0,619.0,705.0,982.0
1035,2023,591.0,691.0,781.0,1064.0
1037,2019,546.0,550.0,727.0,922.0
1037,2020,536.0,539.0,710.0,885.0
1037,2021,549.0,552.0,727.0,904.0
1037,2022,589.0,603.0,784.0,969.0
1037,2023,619.0,629.0,818.0,996.0
1039,2019,488.0,491.0,632.0,847.0
1039,2020,483.0,498.0,624.0,834.0
1039,2021,487.0,507.0,645.0,861.0
1039,2022,531.0,537.0,706.0,930.0
1039,2023,589.0,593.0,781.0,1040.0
1041,2019,472.0,475.0,628.0,787.0
1041,2020,462.0,465.0,612.0,763.0
1041,2021,479.0,481.0,634.0,789.0
1041,2022,530.0,536.0,705.0,871.0
1041,2023,591.0,593.0,781.0,951.0
1043,2019,536.0,577.0,714.0,962.0
1043,2020,502.0,563.0,691.0,933.0
1043,2021,542.0,593.0,729.0,985.0
1043,2022,606.0,657.0,809.0,1093.0
1043,2023,704.0,735.0,915.0,1231.0
1045,2019,507.0,532.0,668.0,902.0
1045,2020,527.0,530.0,648.0,877.0
1045,2021,543.0,546.0,658.0,923.0
1045,2022,621.0,624.0,735.0,1044.0
1045,2023,668.0,672.0,781.0,1110.0
1047,2019,543.0,562.0,673.0,871.0
1047,2020,518.0,533.0,655.0,830.0
1047,2021,522.0,528.0,686.0,853.0
1047,2022,568.0,602.0,792.0,979.0
1047,2023,632.0,636.0,837.0,1019.0
1049,2019,472.0,475.0,628.0,833.0
1049,2020,471.0,474.0,624.0,835.0
1049,2021,426.0,501.0,646.0,868.0
1049,2022,468.0,555.0,705.0,953.0
1049,2023,591.0,611.0,781.0,1071.0
1051,2019,620.0,743.0,880.0,1112.0
1051,2020,615.0,741.0,876.0,1105.0
1051,2021,685.0,820.0,972.0,1229.0
1051,2022,687.0,816.0,976.0,1234.0
1051,2023,773.0,882.0,1055.0,1340.0
1053,2019,497.0,555.0,635.0,847.0
1053,2020,477.0,541.0,616.0,820.0
1053,2021,495.0,555.0,656.0,837.0
1053,2022,540.0,584.0,719.0,901.0
1053,2023,591.0,640.0,781.0,998.0
1055,2019,538.0,542.0,717.0,905.0
1055,2020,563.0,567.0,746.0,944.0
1055,2021,598.0,602.0,771.0,970.0
1055,2022,588.0,623.0,763.0,960.0
1055,2023,554.0,710.0,828.0,1047.0
1057,2019,492.0,549.0,628.0,841.0
1057,2020,474.0,538.0,612.0,789.0
1057,2021,479.0,556.0,634.0,802.0
1057,2022,530.0,609.0,705.0,871.0
1057,2023,591.0,691.0,781.0,976.0
1059,2019,497.0,548.0,634.0,794.0
1059,2020,482.0,534.0,623.0,789.0
1059,2021,490.0,552.0,649.0,815.0
1059,2022,542.0,601.0,721.0,891.0
1059,2023,591.0,691.0,781.0,951.0
1061,2019,553.0,557.0,732.0,972.0
1061,2020,539.0,543.0,714.0,938.0
1061,2021,579.0,583.0,753.0,985.0
1061,2022,586.0,590.0,736.0,969.0
1061,2023,662.0,666.0,814.0,1085.0
1063,2019,492.0,549.0,628.0,884.0
1063,2020,474.0,538.0,612.0,815.0
1063,2021,482.0,560.0,638.0,845.0
1063,2022,608.0,612.0,763.0,943.0
1063,2023,650.0,654.0,829.0,1009.0
1065,2019,699.0,750.0,900.0,1161.0
1065,2020,768.0,788.0,946.0,1209.0
1065,2021,742.0,747.0,901.0,1140.0
1065,2022,814.0,819.0,996.0,1248.0
1065,2023,865.0,871.0,1079.0,1353.0
1067,2019,503.0,561.0,642.0,820.0
1067,2020,493.0,535.0,630.0,839.0
1067,2021,511.0,552.0,659.0,892.0
1067,2022,540.0,543.0,705.0,931.0
1067,2023,589.0,593.0,781.0,1039.0
1069,2019,553.0,557.0,732.0,972.0
1069,2020,539.0,543.0,714.0,938.0
1069,2021,579.0,583.0,753.0,985.0
1069,2022,586.0,590.0,736.0,969.0
1069,2023,662.0,666.0,814.0,1085.0
1071,2019,459.0,605.0,715.0,896.0
1071,2020,446.0,582.0,685.0,854.0
1071,2021,486.0,609.0,737.0,917.0
1071,2022,580.0,651.0,772.0,954.0
1071,2023,604.0,673.0,799.0,972.0
1073,2019,763.0,824.0,943.0,1247.0
1073,2020,875.0,937.0,1073.0,1404.0
1073,2021,891.0,950.0,1093.0,1421.0
1073,2022,834.0,895.0,1029.0,1331.0
1073,2023,949.0,1032.0,1178.0,1508.0
1075,2019,492.0,546.0,628.0,908.0
1075,2020,474.0,538.0,612.0,875.0
1075,2021,479.0,545.0,634.0,857.0
1075,2022,530.0,589.0,705.0,915.0
1075,2023,591.0,647.0,781.0,1068.0
1077,2019,564.0,568.0,717.0,943.0
1077,2020,526.0,597.0,755.0,966.0
1077,2021,562.0,621.0,801.0,1010.0
1077,2022,558.0,611.0,798.0,993.0
1077,2023,611.0,656.0,863.0,1064.0
1079,2019,473.0,557.0,718.0,927.0
1079,2020,506.0,575.0,724.0,937.0
1079,2021,532.0,601.0,741.0,968.0
1079,2022,579.0,619.0,753.0,989.0
1079,2023,649.0,679.0,829.0,1082.0
1081,2019,588.0,674.0,875.0,1164.0
1081,2020,611.0,674.0,878.0,1154.0
1081,2021,634.0,672.0,885.0,1158.0
1081,2022,713.0,748.0,980.0,1297.0
1081,2023,764.0,821.0,1051.0,1406.0
1083,2019,635.0,743.0,877.0,1175.0
1083,2020,611.0,711.0,843.0,1121.0
1083,2021,634.0,743.0,883.0,1172.0
1083,2022,709.0,828.0,982.0,1302.0
1083,2023,796.0,941.0,1111.0,1462.0
1085,2019,620.0,743.0,880.0,1112.0
1085,2020,615.0,741.0,876.0,1105.0
1085,2021,685.0,820.0,972.0,1229.0
1085,2022,687.0,816.0,976.0,1234.0
1085,2023,773.0,882.0,1055.0,1340.0
1087,2019,502.0,505.0,668.0,906.0
1087,2020,508.0,512.0,674.0,840.0
1087,2021,525.0,527.0,695.0,864.0
1087,2022,572.0,578.0,761.0,959.0
1087,2023,612.0,615.0,809.0,1024.0
1089,2019,635.0,743.0,877.0,1175.0
1089,2020,611.0,711.0,843.0,1121.0
1089,2021,634.0,743.0,883.0,1172.0
1089,2022,709.0,828.0,982.0,1302.0
1089,2023,796.0,941.0,1111.0,1462.0
1091,2019,492.0,539.0,628.0,908.0
1091,2020,474.0,538.0,612.0,883.0
1091,2021,482.0,560.0,638.0,882.0
1091,2022,536.0,626.0,713.0,917.0
1091,2023,591.0,691.0,781.0,980.0
1093,2019,472.0,475.0,628.0,844.0
1093,2020,462.0,465.0,612.0,820.0
1093,2021,479.0,481.0,634.0,857.0
1093,2022,530.0,536.0,705.0,932.0
1093,2023,522.0,593.0,781.0,1013.0
1095,2019,506.0,510.0,674.0,908.0
1095,2020,498.0,501.0,660.0,891.0
1095,2021,524.0,527.0,687.0,916.0
1095,2022,573.0,577.0,745.0,997.0
1095,2023,596.0,600.0,781.0,1045.0
1097,2019,725.0,730.0,909.0,1203.0
1097,2020,743.0,749.0,937.0,1245.0
1097,2021,690.0,707.0,886.0,1180.0
1097,2022,711.0,741.0,924.0,1232.0
1097,2023,787.0,846.0,1052.0,1406.0
1099,2019,492.0,549.0,628.0,787.0
1099,2020,474.0,538.0,612.0,763.0
1099,2021,479.0,556.0,634.0,789.0
1099,2022,530.0,619.0,705.0,922.0
1099,2023,591.0,691.0,781.0,1104.0
1101,2019,620.0,743.0,880.0,1112.0
1101,2020,615.0,741.0,876.0,1105.0
1101,2021,685.0,820.0,972.0,1229.0
1101,2022,687.0,816.0,976.0,1234.0
1101,2023,773.0,882.0,1055.0,1340.0
1103,2019,473.0,557.0,718.0,927.0
1103,2020,506.0,575.0,724.0,937.0
1103,2021,532.0,601.0,741.0,968.0
1103,2022,579.0,619.0,753.0,989.0
1103,2023,649.0,679.0,829.0,1082.0
1105,2019,535.0,549.0,628.0,803.0
1105,2020,522.0,538.0,612.0,778.0
1105,2021,483.0,561.0,640.0,796.0
1105,2022,554.0,647.0,737.0,911.0
1105,2023,618.0,723.0,817.0,994.0
1107,2019,478.0,481.0,628.0,846.0
1107,2020,501.0,504.0,631.0,852.0
1107,2021,490.0,493.0,634.0,857.0
1107,2022,535.0,538.0,705.0,952.0
1107,2023,589.0,593.0,781.0,1033.0
1109,2019,544.0,610.0,709.0,958.0
1109,2020,502.0,603.0,686.0,930.0
1109,2021,564.0,638.0,747.0,979.0
1109,2022,652.0,685.0,867.0,1081.0
1109,2023,714.0,717.0,944.0,1149.0
1111,2019,446.0,573.0,694.0,1003.0
1111,2020,487.0,552.0,629.0,861.0
1111,2021,479.0,556.0,634.0,857.0
1111,2022,530.0,619.0,705.0,953.0
1111,2023,591.0,691.0,781.0,1110.0
1113,2019,694.0,771.0,930.0,1268.0
1113,2020,638.0,720.0,849.0,1142.0
1113,2021,697.0,775.0,900.0,1209.0
1113,2022,703.0,778.0,889.0,1206.0
1113,2023,820.0,884.0,1020.0,1377.0
1115,2019,763.0,824.0,943.0,1247.0
1115,2020,875.0,937.0,1073.0,1404.0
1115,2021,891.0,950.0,1093.0,1421.0
1115,2022,834.0,895.0,1029.0,1331.0
