state,first_day_of_month,non_inst_pop,total_pop,pct_non_inst_pop,employed,pct_employed,unemployed,pct_unemployed
Alabama,2019-02-01,3925065,2265764,57.7,2180940,55.6,84824,3.7
Alaska,2019-02-01,545309,352773,64.7,332247,60.9,20526,5.8
Arizona,2019-02-01,5490014,3388861,61.7,3219772,58.6,169089,5.0
Arkansas,2019-02-01,2326482,1362602,58.6,1313365,56.5,49237,3.6
California,2019-02-01,31025700,19346362,62.4,18516404,59.7,829958,4.3
Colorado,2019-02-01,4489948,3078085,68.6,2988314,66.6,89771,2.9
Connecticut,2019-02-01,2912554,1942918,66.7,1871367,64.3,71551,3.7
Delaware,2019-02-01,778288,483050,62.1,465661,59.8,17389,3.6
District of Columbia,2019-02-01,562633,398028,70.7,374441,66.6,23587,5.9
Florida,2019-02-01,17181201,10163853,59.2,9804134,57.1,359719,3.5
Georgia,2019-02-01,8156161,5122344,62.8,4923526,60.4,198818,3.9
Hawaii,2019-02-01,1124704,685158,60.9,666547,59.3,18611,2.7
Idaho,2019-02-01,1365196,875553,64.1,849257,62.2,26296,3.0
Illinois,2019-02-01,10131907,6593252,65.1,6293474,62.1,299778,4.5
Indiana,2019-02-01,5243789,3395581,64.8,3277560,62.5,118021,3.5
Iowa,2019-02-01,2481786,1732197,69.8,1688310,68.0,43887,2.5
Kansas,2019-02-01,2237677,1490817,66.6,1442343,64.5,48474,3.3
Kentucky,2019-02-01,3509348,2055558,58.6,1970220,56.1,85338,4.2
Louisiana,2019-02-01,3585367,2109622,58.8,2008556,56.0,101066,4.8
Maine,2019-02-01,1116513,700746,62.8,679839,60.9,20907,3.0
Maryland,2019-02-01,4836881,3289198,68.0,3175100,65.6,114098,3.5
Massachusetts,2019-02-01,5712539,3830830,67.1,3706662,64.9,124168,3.2
Michigan,2019-02-01,8042623,4962244,61.7,4752990,59.1,209254,4.2
Minnesota,2019-02-01,4438056,3105550,70.0,2998536,67.6,107014,3.4
Mississippi,2019-02-01,2280165,1269731,55.7,1202017,52.7,67714,5.3
Missouri,2019-02-01,4802717,3055756,63.6,2958450,61.6,97306,3.2
Montana,2019-02-01,850447,537437,63.2,518142,60.9,19295,3.6
Nebraska,2019-02-01,1489616,1042303,70.0,1010726,67.9,31577,3.0
Nevada,2019-02-01,2386318,1524671,63.9,1455672,61.0,68999,4.5
New Hampshire,2019-02-01,1125793,771972,68.6,751986,66.8,19986,2.6
New Jersey,2019-02-01,7334531,4628460,63.1,4467515,60.9,160945,3.5
New Mexico,2019-02-01,1640564,958921,58.5,909271,55.4,49650,5.2
New York,2019-02-01,16234804,9858570,60.7,9472023,58.3,386547,3.9
North Carolina,2019-02-01,8085889,4960321,61.3,4764419,58.9,195902,3.9
North Dakota,2019-02-01,591508,414641,70.1,405030,68.5,9611,2.3
Ohio,2019-02-01,9285733,5839215,62.9,5584312,60.1,254903,4.4
Oklahoma,2019-02-01,3006204,1832147,60.9,1773817,59.0,58330,3.2
Oregon,2019-02-01,3386540,2093302,61.8,2006191,59.2,87111,4.2
Pennsylvania,2019-02-01,10403203,6543555,62.9,6254069,60.1,289486,4.4
Rhode Island,2019-02-01,890179,569526,64.0,548130,61.6,21396,3.8
South Carolina,2019-02-01,3978020,2312177,58.1,2237422,56.2,74755,3.2
South Dakota,2019-02-01,666672,459122,68.9,446252,66.9,12870,2.8
Tennessee,2019-02-01,5372757,3308604,61.6,3194388,59.5,114216,3.5
Texas,2019-02-01,21623068,13763201,63.7,13248657,61.3,514544,3.7
Utah,2019-02-01,2341234,1599349,68.3,1555101,66.4,44248,2.8
Vermont,2019-02-01,531450,355602,66.9,347626,65.4,7976,2.2
Virginia,2019-02-01,6697091,4423237,66.0,4288349,64.0,134888,3.0
Washington,2019-02-01,5991871,3883899,64.8,3702409,61.8,181490,4.7
West Virginia,2019-02-01,1455634,794578,54.6,754656,51.8,39922,5.0
Wisconsin,2019-02-01,4658398,3117488,66.9,3023443,64.9,94045,3.0
Wyoming,2019-02-01,446483,292764,65.6,281926,63.1,10838,3.7
Alabama,2019-03-01,3926270,2268650,57.8,2186701,55.7,81949,3.6
Alaska,2019-03-01,545122,352506,64.7,332380,61.0,20126,5.7
Arizona,2019-03-01,5497479,3395900,61.8,3228407,58.7,167493,4.9
Arkansas,2019-03-01,2326747,1363906,58.6,1315774,56.5,48132,3.5
California,2019-03-01,31027851,19351682,62.4,18532272,59.7,819410,4.2
Colorado,2019-03-01,4494726,3082935,68.6,2996360,66.7,86575,2.8
Connecticut,2019-03-01,2912123,1943590,66.7,1873144,64.3,70446,3.6
Delaware,2019-03-01,778925,483986,62.1,466519,59.9,17467,3.6
District of Columbia,2019-03-01,562646,399136,70.9,375540,66.7,23596,5.9
Florida,2019-03-01,17194557,10174296,59.2,9819178,57.1,355118,3.5
Georgia,2019-03-01,8163740,5126316,62.8,4930723,60.4,195593,3.8
Hawaii,2019-03-01,1124486,685255,60.9,665919,59.2,19336,2.8
Idaho,2019-03-01,1367852,877903,64.2,851930,62.3,25973,3.0
